ValidationID,FranchiseeID,StoreID,PeriodID,RuleID,ErrorMessage,Severity
4738,2183,104331,202412,12,Profit Before Taxes ([100]) is negative.,2
4739,2004,104344,202411,12,Profit Before Taxes ([100]) is negative.,2
4740,2407,104293,202411,12,Profit Before Taxes ([100]) is negative.,2
4741,2077,104392,202411,12,Profit Before Taxes ([100]) is negative.,2
4742,2547,104523,202411,12,Profit Before Taxes ([100]) is negative.,2
4743,2118,104616,202410,12,Profit Before Taxes ([100]) is negative.,2
4744,2425,104543,202412,12,Profit Before Taxes ([100]) is negative.,2
4745,2432,104557,202411,12,Profit Before Taxes ([100]) is negative.,2
4746,2221,104637,202410,12,Profit Before Taxes ([100]) is negative.,2
4747,2182,104651,202411,12,Profit Before Taxes ([100]) is negative.,2
4748,2172,104676,202411,12,Profit Before Taxes ([100]) is negative.,2
4749,2579,104692,202411,12,Profit Before Taxes ([100]) is negative.,2
4750,2488,104747,202411,12,Profit Before Taxes ([100]) is negative.,2
4751,2623,104764,202411,12,Profit Before Taxes ([100]) is negative.,2
4752,2099,104830,202411,12,Profit Before Taxes ([100]) is negative.,2
4753,2552,104849,202412,12,Profit Before Taxes ([100]) is negative.,2
4754,2360,104929,202410,12,Profit Before Taxes ([100]) is negative.,2
4755,2315,104915,202412,12,Profit Before Taxes ([100]) is negative.,2
4756,2245,104976,202410,12,Profit Before Taxes ([100]) is negative.,2
4757,2417,104989,202411,12,Profit Before Taxes ([100]) is negative.,2
4758,2367,-90001207,202411,12,Profit Before Taxes ([100]) is negative.,2
4759,2223,-90001153,202411,12,Profit Before Taxes ([100]) is negative.,2
4760,2360,-90001137,202412,12,Profit Before Taxes ([100]) is negative.,2
4761,2050,-90001082,202410,12,Profit Before Taxes ([100]) is negative.,2
4762,2294,-90001066,202411,12,Profit Before Taxes ([100]) is negative.,2
4763,2503,-90001020,202410,12,Profit Before Taxes ([100]) is negative.,2
4764,2451,-90000956,202412,12,Profit Before Taxes ([100]) is negative.,2
4765,2008,-90001003,202410,12,Profit Before Taxes ([100]) is negative.,2
4766,2269,-90000936,202412,12,Profit Before Taxes ([100]) is negative.,2
4767,2367,-90000870,202412,12,Profit Before Taxes ([100]) is negative.,2
4768,2077,-90000826,202411,12,Profit Before Taxes ([100]) is negative.,2
4769,2043,-90000887,202411,12,Profit Before Taxes ([100]) is negative.,2
4770,2267,-90000808,202410,12,Profit Before Taxes ([100]) is negative.,2
4771,2020,-90000747,202410,12,Profit Before Taxes ([100]) is negative.,2
4772,2687,-90000764,202412,12,Profit Before Taxes ([100]) is negative.,2
4773,2583,-90000704,202411,12,Profit Before Taxes ([100]) is negative.,2
4774,2180,-90000688,202412,12,Profit Before Taxes ([100]) is negative.,2
4775,2627,-90000631,202410,12,Profit Before Taxes ([100]) is negative.,2
4776,2124,-90000610,202412,12,Profit Before Taxes ([100]) is negative.,2
4777,2512,-90000548,202410,12,Profit Before Taxes ([100]) is negative.,2
4778,2110,-90000472,202410,12,Profit Before Taxes ([100]) is negative.,2
4779,2614,-90000528,202411,12,Profit Before Taxes ([100]) is negative.,2
4780,2076,-90000450,202410,12,Profit Before Taxes ([100]) is negative.,2
4781,2326,-90000369,202410,12,Profit Before Taxes ([100]) is negative.,2
4782,2638,-90000312,202411,12,Profit Before Taxes ([100]) is negative.,2
4783,2401,-90000392,202411,12,Profit Before Taxes ([100]) is negative.,2
4784,2139,-90000290,202410,12,Profit Before Taxes ([100]) is negative.,2
4785,2296,-90000234,202411,12,Profit Before Taxes ([100]) is negative.,2
4786,2521,-90000212,202410,12,Profit Before Taxes ([100]) is negative.,2
4787,2480,-90000157,202411,12,Profit Before Taxes ([100]) is negative.,2
4788,2628,-90000137,202411,12,Profit Before Taxes ([100]) is negative.,2
4789,2338,-90000084,202410,12,Profit Before Taxes ([100]) is negative.,2
4790,2670,-90000064,202411,12,Profit Before Taxes ([100]) is negative.,2
4791,2061,-90000013,202411,12,Profit Before Taxes ([100]) is negative.,2
4792,2282,100026,202411,12,Profit Before Taxes ([100]) is negative.,2
4793,2655,100077,202410,12,Profit Before Taxes ([100]) is negative.,2
4794,2298,100113,202410,12,Profit Before Taxes ([100]) is negative.,2
4795,2495,100172,202410,12,Profit Before Taxes ([100]) is negative.,2
4796,2297,100184,202411,12,Profit Before Taxes ([100]) is negative.,2
